source,true_deg,true_label,messy,orig_pred_deg,orig_confidence,inverse_applied,corrected_pred,corrected_conf,corrected_is_0,orig_correct
national Microfinance Annual Report FY 2077-78_page0005.png,90,1,True,90,0.5620701313018799,270,0,0.8746009469032288,True,True
Audit Report NFRS Sample 1 (1)_page0021.png,0,0,True,0,0.6567149758338928,0,0,0.6567149758338928,True,True
Audit Report NFRS Sample 2 (2)_page0007.png,180,2,True,180,0.6381745338439941,180,0,0.8940954208374023,True,True
Chitwan_Management_Meeting_25_27_dec_2014_final_page0010.png,0,0,True,0,0.6901906728744507,0,0,0.6901906728744507,True,True
national Microfinance Annual Report FY 2077-78_page0006.png,180,2,False,0,0.5980278849601746,0,0,0.5980278849601746,True,False
वार्षिक प्रतिवेदन New 1_naavn9s_page0002.png,270,3,True,180,0.37025701999664307,180,0,0.3900049924850464,True,False
Audit Report NFRS Sample 2 (2)_page0011.png,270,3,True,90,0.47534677386283875,270,180,0.9070576429367065,False,False
वार्षिक प्रतिवेदन New 1_naavn9s_page0003.png,90,1,True,90,0.6756336688995361,270,0,0.8938124775886536,True,True
Audit Report NFRS Sample 2 (2)_page0004.png,180,2,True,0,0.46202611923217773,0,0,0.46202611923217773,True,False
national Microfinance Annual Report FY 2077-78_page0014.png,0,0,True,180,0.6220821738243103,180,0,0.8140833377838135,True,False
national Microfinance Annual Report FY 2077-78_page0028.png,90,1,True,90,0.7180036902427673,270,0,0.8975921273231506,True,True
national Microfinance Annual Report FY 2077-78_page0028.png,270,3,True,270,0.5938684344291687,90,0,0.8438060283660889,True,True
वार्षिक प्रतिवेदन New 1_naavn9s_page0004.png,0,0,True,0,0.678141176700592,0,0,0.678141176700592,True,True
वार्षिक प्रतिवेदन New 1_naavn9s_page0004.png,180,2,True,90,0.5839124917984009,270,90,0.8646226525306702,False,False
NFRS CLASS D SAMPLE (1)_page0003.png,0,0,True,0,0.6552097201347351,0,0,0.6552097201347351,True,True
national Microfinance Annual Report FY 2077-78_page0001.png,0,0,False,0,0.6822642683982849,0,0,0.6822642683982849,True,True
Provisional Report_page0001.png,0,0,True,0,0.518025279045105,0,0,0.518025279045105,True,True
Audit Report (1)_page0005.png,180,2,True,180,0.5477335453033447,180,0,0.885660707950592,True,True
Audit Report (1)_page0005.png,270,3,False,270,0.7284168004989624,90,0,0.910449743270874,True,True
Provisional Report_page0007.png,0,0,True,0,0.5546172261238098,0,0,0.5546172261238098,True,True
Provisional Report_page0007.png,270,3,True,270,0.743217408657074,90,0,0.907349169254303,True,True
pdfoverimage_page0001.png,0,0,True,0,0.4806482493877411,0,0,0.4806482493877411,True,True
Chitwan_Management_Meeting_25_27_dec_2014_final_page0018.png,180,2,False,180,0.5299030542373657,180,0,0.9006364345550537,True,True
वार्षिक प्रतिवेदन New 1_naavn9s_page0008.png,90,1,True,270,0.7100244760513306,90,0,0.8159912824630737,True,False
वार्षिक प्रतिवेदन New 1_naavn9s_page0021.png,0,0,True,180,0.681198239326477,180,0,0.8518676161766052,True,False
वार्षिक प्रतिवेदन New 1_naavn9s_page0009.png,270,3,True,270,0.7004817724227905,90,0,0.6924059987068176,True,True
national Microfinance Annual Report FY 2077-78_page0019.png,270,3,True,180,0.6535840630531311,180,90,0.6960466504096985,False,False
Audit Report NFRS Sample 2 (2)_page0009.png,0,0,True,0,0.4926430583000183,0,0,0.4926430583000183,True,True
Audit Report NFRS Sample 2 (2)_page0009.png,180,2,False,0,0.6785455346107483,0,0,0.6785455346107483,True,False
Audit Report NFRS Sample 2 (2)_page0009.png,270,3,True,270,0.5534291863441467,90,0,0.8907107710838318,True,True
Audit Report NFRS Sample 2 (2)_page0008.png,270,3,False,270,0.6118466854095459,90,0,0.8794103860855103,True,True
national Microfinance Annual Report FY 2077-78_page0009.png,180,2,True,180,0.6377388834953308,180,0,0.9118368625640869,True,True
वार्षिक प्रतिवेदन New 1_naavn9s_page0019.png,270,3,True,90,0.7331171035766602,270,0,0.5709518790245056,True,False
